ID,ANIMAL NAME,PHOTO,PROFILE,PHOTO LOCATION,ORIGINAL ID BY,SEX,TAGGED,PIT TAG,DNA,SAMPLE .,CU SAMPLE,DNA PLATE,WELL,NOTES,AGE,GENERAL LOCATION,DATE TAGGED,DATE DNA TAKEN,TAG 30/09,GENOTYPED,GENOTYPED SAMPLE NO,EXTACTED?,DATE EXTRACTED,DATE GENOTYPED,TAIL,BLOOD,SKIN,FAECES
1251,Octopus,TRUE,R,,CP,M,FALSE,,FALSE,,,,,,Juvenile,SPEC,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1252,Peleona,TRUE,L & R,,CP,M,TRUE,880098307,TRUE,RSP 603,,,,,Juvenile,ARID,28/03/2018,28/03/2018,0,FALSE,,FALSE,,,FALSE,TRUE,FALSE,FALSE
1253,Canari,TRUE,L,,CP,M,FALSE,,FALSE,,,,,,Adult,SPEC,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1254,Salt,TRUE,L,,CP,M,FALSE,,FALSE,,,,,,Adult,PGROUND,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1256,Gepetto,TRUE,L & R,,CP,M,TRUE,880098329,TRUE,RSP 597,,,,,Adult,SPEC,28/03/2018,28/03/2018,0,TRUE,,FALSE,,,TRUE,TRUE,FALSE,FALSE
1257,Pinocchio,TRUE,L,,CP,M,FALSE,,FALSE,,,,,,Adult,ARID,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1258,Adam,TRUE,R,,CP,M,FALSE,,FALSE,,,,,,Juvenile,SPEC,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1259,Sunrise,TRUE,R,,CP,F,FALSE,,FALSE,,,,,,Adult,,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1260,Cactus,TRUE,L & R,,CP,M,TRUE,880098341,TRUE,RSP 582,,,,Huge belly,Adult,SPEC,27/03/2018,27/03/2018,0,TRUE,,FALSE,,,TRUE,TRUE,FALSE,FALSE
1261,Copepod,TRUE,L & R,,CP,F,TRUE,880098303,TRUE,RSP 637,,,,Dropped half its tail,Adult,ARID,30/03/2018,30/03/2018,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,FALSE
1262,Jane,TRUE,L & R,,CP,F,TRUE,126051246751,TRUE,RSP 743,,,,,Adult,RAINFST,17/11/2018,17/11/2018,0,FALSE,,FALSE,,,TRUE,FALSE,FALSE,FALSE
1264,Sunset,TRUE,R,,CP,M,FALSE,,FALSE,,,,,,Juvenile,,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1265,Flaxseed,TRUE,L,,,U,FALSE,,FALSE,,,,,,Juvenile,,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
